521,487
681,826
269,107
681,496
999,88
753,458
681,436
633,441
1155,331
554,533
450,-48
753,458
616,820
947,364
254,189
351,406
396,314
773,691
521,325
NEXT
999,724
786,551
858,378
524,891
909,332
735,300
789,619
718,169
487,547
927,67
829,383
596,433
425,323
820,-21
561,406
1028,229
654,491
802,494
875,547
999,724
563,424
596,433
452,91
945,770
681,556
937,489
NEXT
435,67
524,891
681,136
611,309
947,213
626,235
1066,345
769,392
539,360
802,494
745,605
826,301
937,323
390,195
681,526
366,177
1036,350
803,166
1135,637
888,374
787,352
745,207
620,791
766,433
912,860
512,575
621,406
660,427
764,150
NEXT
727,264
762,566
558,575
654,491
1028,229
663,524
751,309
417,770
254,267
1069,124
874,672
168,572
339,295
448,173
996,177
795,443
488,672
1108,545
787,512
937,323
789,619
1045,670
624,388
NEXT
387,257
627,512
654,321
829,429
611,503
829,383
540,212
898,-21
654,459
1166,563
755,178
477,806
626,235
926,-75
334,229
282,535
1125,476
875,265
981,406
713,613
741,406
998,842
727,264
742,791
281,202
326,462
657,389
444,369
649,613
441,406
975,555
771,406
1071,406
NEXT
611,-38
762,566
858,59
972,195
1041,406
584,336
681,-14
681,-104
830,112
227,637
657,423
702,427
385,702
795,369
945,42
782,93
745,605
602,909
644,169
733,478
548,474
1214,322
207,481
708,459
602,909
727,110
751,309
695,318
573,193
710,410
947,364
874,672
NEXT
293,688
736,577
681,196
802,318
597,322
698,382
570,748
681,196
808,533
627,300
414,542
998,-30
487,547
765,-127
755,178
1194,240
826,511
641,326
282,535
810,805
515,919
681,196
282,277
NEXT
470,697
668,432
868,311
744,469
589,691
891,406
624,388
639,140
663,463
321,46
681,376
705,423
609,458
626,577
947,213
385,360
681,136
576,261
657,389
539,452
1108,545
681,346
741,406
NEXT
491,596
773,691
501,406
178,327
708,321
799,424
593,420
559,646
601,446
850,575
966,314
723,448
548,474
269,705
653,229
820,-21
765,-127
792,748
850,575
810,7
1036,350
NEXT
681,706
339,517
795,443
368,305
1108,545
630,81
766,379
918,443
1155,481
749,273
789,193
575,460
417,42
681,856
1155,481
710,402
NEXT
