245,89
782,93
542,-21
468,298
387,257
769,285
622,397
633,441
663,463
681,466
699,463
635,548
464,833
406,681
552,805
635,702
762,566
871,780
926,887
1041,766
1184,485
972,617
858,434
296,467
342,652
300,787
1137,258
838,-79
533,-50
NEXT
1020,67
822,212
723,364
646,358
254,545
468,514
646,454
681,346
799,424
826,511
803,646
996,635
663,524
681,556
681,886
681,946
1108,623
948,270
956,131
704,258
342,67
723,140
765,490
NEXT
300,25
617,207
707,419
1069,688
1117,723
927,745
628,433
664,430
1194,240
948,270
937,489
857,648
653,583
470,697
321,766
NEXT
382,-6
773,121
591,406
829,554
524,891
584,476
948,270
1028,229
1184,485
999,724
1135,175
NEXT
545,139
792,64
756,-68
469,194
468,298
521,325
584,336
567,369
573,619
523,624
321,766
482,470
563,424
178,327
178,485
515,919
708,459
755,178
756,880
1020,745
1166,249
764,150
NEXT
521,325
439,230
469,194
999,724
948,270
729,371
681,406
789,619
948,542
1214,490
839,188
536,301
576,261
611,309
1166,563
649,613
681,676
871,596
996,177
681,196
705,423
685,377
596,379
311,526
621,406
644,169
607,178
755,178
NEXT
178,485
653,583
618,469
548,338
694,380
787,300
829,429
830,700
829,554
963,18
NEXT
858,59
956,131
875,265
702,427
668,380
227,175
231,406
450,860
436,887
561,776
633,441
681,376
633,371
708,321
841,487
735,300
727,264
795,369
1066,467
947,599
1001,569
737,761
681,556
512,529
293,688
200,651
448,639
1080,535
948,542
721,486
649,613
1093,107
998,-30
635,110
364,-30
417,42
539,360
NEXT
977,110
892,115
804,237
765,322
776,219
912,860
963,794
746,820
589,691
575,512
593,392
406,131
321,46
681,-74
1137,554
996,635
573,619
267,341
545,139
681,286
342,745
390,617
823,452
NEXT
685,377
586,593
639,672
723,672
801,776
776,593
841,487
977,702
1045,670
782,93
542,-21
635,110
858,59
893,194
1161,406
699,288
858,753
926,887
751,850
